file,pred_camera_view,true_camera_view
0958_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0958_D.jpg,Behind Home,Behind Home
0959_B.jpg,"Batter, 3B side","Batter, 3B side"
0959_A.jpg,Behind Pitcher,Behind Pitcher
0960_A.jpg,Behind Pitcher,Behind Pitcher
0959_D.jpg,Behind Home,Behind Home
0959_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0960_B.jpg,"Batter, 3B side","Batter, 3B side"
0960_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0961_A.jpg,Behind Pitcher,Behind Pitcher
0960_D.jpg,Behind Home,Behind Home
0961_B.jpg,"Batter, 3B side","Batter, 3B side"
0961_D.jpg,Behind Home,Behind Home
0961_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0962_A.jpg,Behind Pitcher,Behind Pitcher
0962_B.jpg,"Batter, 3B side","Batter, 3B side"
0962_D.jpg,Behind Home,Behind Home
0962_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0963_A.jpg,Behind Pitcher,Behind Pitcher
0963_B.jpg,"Batter, 3B side","Batter, 3B side"
0963_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0963_D.jpg,Behind Home,Behind Home
0964_B.jpg,"Batter, 3B side","Batter, 3B side"
0964_A.jpg,Behind Pitcher,Behind Pitcher
0964_D.jpg,Behind Home,Behind Home
0964_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0965_B.jpg,"Batter, 3B side","Batter, 3B side"
0965_A.jpg,Behind Pitcher,Behind Pitcher
0965_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0965_D.jpg,Behind Home,Behind Home
0966_A.jpg,Behind Pitcher,Behind Pitcher
0966_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0966_B.jpg,"Batter, 3B side","Batter, 3B side"
0967_B.jpg,"Batter, 3B side","Batter, 3B side"
0967_A.jpg,Behind Pitcher,Behind Pitcher
0966_D.jpg,Behind Home,Behind Home
0967_D.jpg,Behind Home,Behind Home
0967_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0968_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0968_A.jpg,Behind Pitcher,Behind Pitcher
0968_B.jpg,"Batter, 3B side","Batter, 3B side"
0969_A.jpg,Behind Pitcher,Behind Pitcher
0968_D.jpg,Behind Home,Behind Home
0969_B.jpg,"Batter, 3B side","Batter, 3B side"
0969_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0970_A.jpg,Behind Pitcher,Behind Pitcher
0970_B.jpg,"Batter, 3B side","Batter, 3B side"
0969_D.jpg,Behind Home,Behind Home
0970_D.jpg,Behind Home,Behind Home
0970_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0971_A.jpg,Behind Pitcher,Behind Pitcher
0971_B.jpg,"Batter, 3B side","Batter, 3B side"
0971_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0972_A.jpg,Behind Pitcher,Behind Pitcher
0971_D.jpg,Behind Home,Behind Home
0972_B.jpg,"Batter, 3B side","Batter, 3B side"
0972_D.jpg,Behind Home,Behind Home
0972_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0973_A.jpg,Behind Pitcher,Behind Pitcher
0973_B.jpg,"Batter, 3B side","Batter, 3B side"
0974_A.jpg,Behind Pitcher,Behind Pitcher
0973_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0973_D.jpg,Behind Home,Behind Home
0974_B.jpg,"Batter, 3B side","Batter, 3B side"
0974_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0974_D.jpg,Behind Home,Behind Home
0975_A.jpg,Behind Pitcher,Behind Pitcher
0975_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0975_D.jpg,Behind Home,Behind Home
0975_B.jpg,"Batter, 3B side","Batter, 3B side"
0976_A.jpg,Behind Pitcher,Behind Pitcher
0976_B.jpg,"Batter, 3B side","Batter, 3B side"
0977_A.jpg,Behind Pitcher,Behind Pitcher
0976_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0976_D.jpg,Behind Home,Behind Home
0977_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0977_B.jpg,"Batter, 3B side","Batter, 3B side"
0978_A.jpg,Behind Pitcher,Behind Pitcher
0978_B.jpg,"Batter, 3B side","Batter, 3B side"
0977_D.jpg,Behind Home,Behind Home
0978_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0978_D.jpg,Behind Home,Behind Home
0979_A.jpg,Behind Pitcher,Behind Pitcher
0979_B.jpg,"Batter, 3B side","Batter, 3B side"
0980_A.jpg,Behind Pitcher,Behind Pitcher
0979_D.jpg,Behind Home,Behind Home
0979_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0980_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0980_B.jpg,"Batter, 3B side","Batter, 3B side"
0980_D.jpg,Behind Home,Behind Home
0981_A.jpg,Behind Pitcher,Behind Pitcher
0981_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0981_B.jpg,"Batter, 3B side","Batter, 3B side"
0982_A.jpg,Behind Pitcher,Behind Pitcher
0982_B.jpg,"Batter, 3B side","Batter, 3B side"
0981_D.jpg,Behind Home,Behind Home
0982_D.jpg,Behind Home,Behind Home
0982_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0983_A.jpg,Behind Pitcher,Behind Pitcher
0983_B.jpg,"Batter, 3B side","Batter, 3B side"
0983_D.jpg,Behind Home,Behind Home
0984_A.jpg,Behind Pitcher,Behind Pitcher
0983_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0984_B.jpg,"Batter, 3B side","Batter, 3B side"
0984_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0984_D.jpg,Behind Home,Behind Home
0985_A.jpg,Behind Pitcher,Behind Pitcher
0985_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0985_D.jpg,Behind Home,Behind Home
0985_B.jpg,"Batter, 3B side","Batter, 3B side"
0986_A.jpg,Behind Pitcher,Behind Pitcher
0986_B.jpg,"Batter, 3B side","Batter, 3B side"
0986_D.jpg,Behind Home,Behind Home
0986_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0987_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0987_A.jpg,Behind Pitcher,Behind Pitcher
0987_B.jpg,"Batter, 3B side","Batter, 3B side"
0988_A.jpg,Behind Pitcher,Behind Pitcher
0987_D.jpg,Behind Home,Behind Home
0988_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0988_B.jpg,"Batter, 3B side","Batter, 3B side"
0988_D.jpg,Behind Home,Behind Home
0989_A.jpg,Behind Pitcher,Behind Pitcher
0989_D.jpg,Behind Home,Behind Home
0989_B.jpg,"Batter, 3B side","Batter, 3B side"
0989_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0990_A.jpg,Behind Pitcher,Behind Pitcher
0990_B.jpg,"Batter, 3B side","Batter, 3B side"
0990_D.jpg,Behind Home,Behind Home
0990_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0991_A.jpg,Behind Pitcher,Behind Pitcher
0991_B.jpg,"Batter, 3B side","Batter, 3B side"
0991_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0991_D.jpg,Behind Home,Behind Home
0992_A.jpg,Behind Pitcher,Behind Pitcher
0992_B.jpg,"Batter, 3B side","Batter, 3B side"
0992_D.jpg,Behind Home,Behind Home
0992_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0993_B.jpg,"Batter, 3B side","Batter, 3B side"
0993_A.jpg,Behind Pitcher,Behind Pitcher
0993_D.jpg,Behind Home,Behind Home
0993_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0994_B.jpg,"Batter, 3B side","Batter, 3B side"
0994_A.jpg,Behind Pitcher,Behind Pitcher
0994_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0994_D.jpg,Behind Home,Behind Home
0995_A.jpg,Behind Pitcher,Behind Pitcher
0995_B.jpg,"Batter, 3B side","Batter, 3B side"
0995_D.jpg,Behind Home,Behind Home
0996_A.jpg,Behind Pitcher,Behind Pitcher
0995_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0996_B.jpg,"Batter, 3B side","Batter, 3B side"
0996_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0997_A.jpg,Behind Pitcher,Behind Pitcher
0996_D.jpg,Behind Home,Behind Home
0997_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0997_B.jpg,"Batter, 3B side","Batter, 3B side"
0997_D.jpg,Behind Home,Behind Home
0998_B.jpg,"Batter, 3B side","Batter, 3B side"
0998_A.jpg,Behind Pitcher,Behind Pitcher
0998_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
0998_D.jpg,Behind Home,Behind Home
0999_B.jpg,"Batter, 3B side","Batter, 3B side"
0999_A.jpg,Behind Pitcher,Behind Pitcher
0999_D.jpg,Behind Home,Behind Home
0999_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1000_B.jpg,"Batter, 3B side","Batter, 3B side"
1000_A.jpg,Behind Pitcher,Behind Pitcher
1000_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1001_A.jpg,Behind Pitcher,Behind Pitcher
1000_D.jpg,Behind Home,Behind Home
1001_B.jpg,"Batter, 3B side","Batter, 3B side"
1001_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1001_D.jpg,Behind Home,Behind Home
1002_A.jpg,Behind Pitcher,Behind Pitcher
1002_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1002_B.jpg,"Batter, 3B side","Batter, 3B side"
1002_D.jpg,Behind Home,Behind Home
1003_A.jpg,Behind Pitcher,Behind Pitcher
1003_B.jpg,"Batter, 3B side","Batter, 3B side"
1003_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1003_D.jpg,Behind Home,Behind Home
1004_A.jpg,Behind Pitcher,Behind Pitcher
1004_B.jpg,"Batter, 3B side","Batter, 3B side"
1004_D.jpg,Behind Home,Behind Home
1005_A.jpg,Behind Pitcher,Behind Pitcher
1004_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1005_B.jpg,"Batter, 3B side","Batter, 3B side"
1005_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1006_A.jpg,Behind Pitcher,Behind Pitcher
1005_D.jpg,Behind Home,Behind Home
1006_B.jpg,"Batter, 3B side","Batter, 3B side"
1006_D.jpg,Behind Home,Behind Home
1006_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1007_A.jpg,Behind Pitcher,Behind Pitcher
1007_B.jpg,"Batter, 3B side","Batter, 3B side"
1007_D.jpg,Behind Home,Behind Home
1008_A.jpg,Behind Pitcher,Behind Pitcher
1007_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1008_B.jpg,"Batter, 3B side","Batter, 3B side"
1008_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1008_D.jpg,Behind Home,Behind Home
1009_A.jpg,Behind Pitcher,Behind Pitcher
1009_B.jpg,"Batter, 3B side","Batter, 3B side"
1009_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1009_D.jpg,Behind Home,Behind Home
1010_A.jpg,Behind Pitcher,Behind Pitcher
1010_B.jpg,"Batter, 3B side","Batter, 3B side"
1010_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1010_D.jpg,Behind Home,Behind Home
1011_A.jpg,Behind Pitcher,Behind Pitcher
1011_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1011_B.jpg,"Batter, 3B side","Batter, 3B side"
1012_A.jpg,Behind Pitcher,Behind Pitcher
1011_D.jpg,Behind Home,Behind Home
1012_B.jpg,"Batter, 3B side","Batter, 3B side"
1012_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1013_A.jpg,Behind Pitcher,Behind Pitcher
1012_D.jpg,Behind Home,Behind Home
1013_B.jpg,"Batter, 3B side","Batter, 3B side"
1013_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1013_D.jpg,Behind Home,Behind Home
1014_B.jpg,"Batter, 3B side","Batter, 3B side"
1014_A.jpg,Behind Pitcher,Behind Pitcher
1014_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1014_D.jpg,Behind Home,Behind Home
1015_A.jpg,Behind Pitcher,Behind Pitcher
1015_B.jpg,"Batter, 3B side","Batter, 3B side"
1015_D.jpg,Behind Home,Behind Home
1016_A.jpg,Behind Pitcher,Behind Pitcher
1015_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1016_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1016_B.jpg,"Batter, 3B side","Batter, 3B side"
1017_A.jpg,Behind Pitcher,Behind Pitcher
1017_B.jpg,"Batter, 3B side","Batter, 3B side"
1016_D.jpg,Behind Home,Behind Home
1017_D.jpg,Behind Home,Behind Home
1017_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1018_A.jpg,Behind Pitcher,Behind Pitcher
1018_B.jpg,"Batter, 3B side","Batter, 3B side"
1018_D.jpg,Behind Home,Behind Home
1018_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1019_B.jpg,"Batter, 3B side","Batter, 3B side"
1019_A.jpg,Behind Pitcher,Behind Pitcher
1019_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1019_D.jpg,Behind Home,Behind Home
1020_A.jpg,Behind Pitcher,Behind Pitcher
1020_D.jpg,Behind Home,Behind Home
1020_B.jpg,"Batter, 3B side","Batter, 3B side"
1020_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1021_B.jpg,"Batter, 3B side","Batter, 3B side"
1021_A.jpg,Behind Pitcher,Behind Pitcher
1021_D.jpg,Behind Home,Behind Home
1021_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1022_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1022_A.jpg,Behind Pitcher,Behind Pitcher
1022_B.jpg,"Batter, 3B side","Batter, 3B side"
1023_A.jpg,Behind Pitcher,Behind Pitcher
1022_D.jpg,Behind Home,Behind Home
1023_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1023_B.jpg,"Batter, 3B side","Batter, 3B side"
1024_A.jpg,Behind Pitcher,Behind Pitcher
1023_D.jpg,Behind Home,Behind Home
1024_D.jpg,Behind Home,Behind Home
1024_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1024_B.jpg,"Batter, 3B side","Batter, 3B side"
1025_A.jpg,Behind Pitcher,Behind Pitcher
1025_B.jpg,"Batter, 3B side","Batter, 3B side"
1026_A.jpg,Behind Pitcher,Behind Pitcher
1025_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1025_D.jpg,Behind Home,Behind Home
1026_B.jpg,"Batter, 3B side","Batter, 3B side"
1026_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1027_A.jpg,Behind Pitcher,Behind Pitcher
1026_D.jpg,Behind Home,Behind Home
1027_B.jpg,"Batter, 3B side","Batter, 3B side"
1027_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1027_D.jpg,Behind Home,Behind Home
1028_A.jpg,Behind Pitcher,Behind Pitcher
1028_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1028_D.jpg,Behind Home,Behind Home
1028_B.jpg,"Batter, 3B side","Batter, 3B side"
1029_B.jpg,"Batter, 3B side","Batter, 3B side"
1029_A.jpg,Behind Pitcher,Behind Pitcher
1029_D.jpg,Behind Home,Behind Home
1029_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1030_A.jpg,Behind Pitcher,Behind Pitcher
1030_B.jpg,"Batter, 3B side","Batter, 3B side"
1030_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1031_A.jpg,Behind Pitcher,Behind Pitcher
1030_D.jpg,Behind Home,Behind Home
1031_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1031_B.jpg,"Batter, 3B side","Batter, 3B side"
1032_B.jpg,"Batter, 3B side","Batter, 3B side"
1031_D.jpg,Behind Home,Behind Home
1032_A.jpg,Behind Pitcher,Behind Pitcher
1032_D.jpg,Behind Home,Behind Home
1032_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1033_B.jpg,"Batter, 3B side","Batter, 3B side"
1033_A.jpg,Behind Pitcher,Behind Pitcher
1033_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1033_D.jpg,Behind Home,Behind Home
1034_B.jpg,"Batter, 3B side","Batter, 3B side"
1034_A.jpg,Behind Pitcher,Behind Pitcher
1035_A.jpg,Behind Pitcher,Behind Pitcher
1034_D.jpg,Behind Home,Behind Home
1034_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1035_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1035_B.jpg,"Batter, 3B side","Batter, 3B side"
1035_D.jpg,Behind Home,Behind Home
1036_A.jpg,Behind Pitcher,Behind Pitcher
1036_B.jpg,"Batter, 3B side","Batter, 3B side"
1036_D.jpg,Behind Home,Behind Home
1036_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1037_B.jpg,"Batter, 3B side","Batter, 3B side"
1037_A.jpg,Behind Pitcher,Behind Pitcher
1037_D.jpg,Behind Home,Behind Home
1037_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1038_B.jpg,"Batter, 3B side","Batter, 3B side"
1038_A.jpg,Behind Pitcher,Behind Pitcher
1038_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1039_A.jpg,Behind Pitcher,Behind Pitcher
1038_D.jpg,Behind Home,Behind Home
1039_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1039_B.jpg,"Batter, 3B side","Batter, 3B side"
1039_D.jpg,Behind Home,Behind Home
1040_A.jpg,Behind Pitcher,Behind Pitcher
1040_B.jpg,"Batter, 3B side","Batter, 3B side"
1040_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1040_D.jpg,Behind Home,Behind Home
1041_B.jpg,"Batter, 3B side","Batter, 3B side"
1041_A.jpg,Behind Pitcher,Behind Pitcher
1041_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1042_A.jpg,Behind Pitcher,Behind Pitcher
1041_D.jpg,Behind Home,Behind Home
1042_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1042_B.jpg,"Batter, 3B side","Batter, 3B side"
1043_B.jpg,"Batter, 3B side","Batter, 3B side"
1042_D.jpg,Behind Home,Behind Home
1043_A.jpg,Behind Pitcher,Behind Pitcher
1043_D.jpg,Behind Home,Behind Home
1043_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1044_B.jpg,"Batter, 3B side","Batter, 3B side"
1044_A.jpg,Behind Pitcher,Behind Pitcher
1044_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1045_A.jpg,Behind Pitcher,Behind Pitcher
1044_D.jpg,Behind Home,Behind Home
1045_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1045_B.jpg,"Batter, 3B side","Batter, 3B side"
1046_A.jpg,Behind Pitcher,Behind Pitcher
1045_D.jpg,Behind Home,Behind Home
1046_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1046_B.jpg,"Batter, 3B side","Batter, 3B side"
1047_B.jpg,"Batter, 3B side","Batter, 3B side"
1046_D.jpg,Behind Home,Behind Home
1047_A.jpg,Behind Pitcher,Behind Pitcher
1047_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1047_D.jpg,Behind Home,Behind Home
1048_A.jpg,Behind Pitcher,Behind Pitcher
1048_B.jpg,"Batter, 3B side","Batter, 3B side"
1048_D.jpg,Behind Home,Behind Home
1049_A.jpg,Behind Pitcher,Behind Pitcher
1048_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1049_B.jpg,"Batter, 3B side","Batter, 3B side"
1049_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1049_D.jpg,Behind Home,Behind Home
1050_A.jpg,Behind Pitcher,Behind Pitcher
1050_B.jpg,"Batter, 3B side","Batter, 3B side"
1050_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1050_D.jpg,Behind Home,Behind Home
1051_B.jpg,"Batter, 3B side","Batter, 3B side"
1051_A.jpg,Behind Pitcher,Behind Pitcher
1052_A.jpg,Behind Pitcher,Behind Pitcher
1051_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1051_D.jpg,Behind Home,Behind Home
1052_B.jpg,"Batter, 3B side","Batter, 3B side"
1052_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1053_A.jpg,Behind Pitcher,Behind Pitcher
1052_D.jpg,Behind Home,Behind Home
1053_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1053_B.jpg,"Batter, 3B side","Batter, 3B side"
1053_D.jpg,Behind Home,Behind Home
1054_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1054_A.jpg,Behind Pitcher,Behind Pitcher
1054_D.jpg,Behind Home,Behind Home
1054_B.jpg,"Batter, 3B side","Batter, 3B side"
1055_A.jpg,Behind Pitcher,Behind Pitcher
1055_B.jpg,"Batter, 3B side","Batter, 3B side"
1055_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1056_A.jpg,Behind Pitcher,Behind Pitcher
1055_D.jpg,Behind Home,Behind Home
1056_B.jpg,"Batter, 3B side","Batter, 3B side"
1056_D.jpg,Behind Home,Behind Home
1056_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1057_B.jpg,"Batter, 3B side","Batter, 3B side"
1057_A.jpg,Behind Pitcher,Behind Pitcher
1057_D.jpg,Behind Home,Behind Home
1057_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1058_B.jpg,"Batter, 3B side","Batter, 3B side"
1058_A.jpg,Behind Pitcher,Behind Pitcher
1058_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1058_D.jpg,Behind Home,Behind Home
1059_A.jpg,Behind Pitcher,Behind Pitcher
1059_B.jpg,"Batter, 3B side","Batter, 3B side"
1059_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1060_A.jpg,Behind Pitcher,Behind Pitcher
1060_B.jpg,"Batter, 3B side","Batter, 3B side"
1059_D.jpg,Behind Home,Behind Home
1060_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1060_D.jpg,Behind Home,Behind Home
1061_A.jpg,Behind Pitcher,Behind Pitcher
1061_B.jpg,"Batter, 3B side","Batter, 3B side"
1061_D.jpg,Behind Home,Behind Home
1061_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1062_A.jpg,Behind Pitcher,Behind Pitcher
1062_B.jpg,"Batter, 3B side","Batter, 3B side"
1062_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1063_A.jpg,Behind Pitcher,Behind Pitcher
1062_D.jpg,Behind Home,Behind Home
1063_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1063_B.jpg,"Batter, 3B side","Batter, 3B side"
1063_D.jpg,Behind Home,Behind Home
1064_B.jpg,"Batter, 3B side","Batter, 3B side"
1064_A.jpg,Behind Pitcher,Behind Pitcher
1064_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1064_D.jpg,Behind Home,Behind Home
1065_B.jpg,"Batter, 3B side","Batter, 3B side"
1065_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1065_A.jpg,Behind Pitcher,Behind Pitcher
1066_A.jpg,Behind Pitcher,Behind Pitcher
1065_D.jpg,Behind Home,Behind Home
1066_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1066_B.jpg,"Batter, 3B side","Batter, 3B side"
1066_D.jpg,Behind Home,Behind Home
1067_A.jpg,Behind Pitcher,Behind Pitcher
1067_B.jpg,"Batter, 3B side","Batter, 3B side"
1067_D.jpg,Behind Home,Behind Home
1067_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
1068_A.jpg,Behind Pitcher,Behind Pitcher
1068_B.jpg,"Batter, 3B side","Batter, 3B side"
1068_C.jpg,"Pitcher, 3B side","Pitcher, 3B side"
